Run_Num,Random_Write,Random_Read,Seq_Write,Seq_Read
0,1515216,1514404,2456,196
1,1515212,1514436,2460,200
2,1515116,1514384,2456,196
3,1515144,1514440,2460,196
4,1515148,1514352,2468,196
5,1515128,1514472,2460,196
6,1515236,1514428,2460,196
7,1515320,1514432,2468,196
8,1515124,1514368,2468,196
9,1515268,1514412,2468,196
10,1515124,1514508,2460,196
11,1515120,1514408,2460,196
12,1515240,1514364,2460,204
13,1515132,1514560,2456,200
14,1515060,1514328,2464,200
15,1515208,1514408,2460,196
16,1515124,1514340,2468,196
17,1515288,1514396,2460,196
18,1515280,1514360,2460,196
19,1515140,1514376,2468,196
20,1515236,1514432,2456,200
21,1515284,1514428,2460,204
22,1515092,1514312,2460,196
23,1515304,1514440,2464,200
24,1515164,1514456,2460,200
25,1515168,1514416,2456,196
26,1515192,1514408,2460,204
27,1515076,1514352,2468,196
28,1515304,1514504,2456,200
29,1515256,1514344,2464,200
30,1515152,1514464,2460,196
31,1515088,1514396,2456,200
32,1515208,1514428,2468,196
33,1515204,1514504,2460,196
34,1515080,1514400,2456,196
35,1515296,1514436,2468,196
36,1515132,1514372,2460,196
37,1515272,1514372,2464,196
38,1515140,1514416,2460,200
39,1515148,1514344,2464,200
40,1515276,1514400,2460,196
41,1515148,1514364,2456,196
42,1515292,1514424,2460,196
43,1515088,1514544,2460,196
44,1515148,1514360,2456,196
45,1515316,1514428,2460,204
46,1515124,1514424,2460,196
47,1515124,1514400,2460,196
48,1515280,1514356,2460,200
49,1515136,1514436,2460,196
50,1515196,1514500,2452,196
51,1515236,1514344,2460,196
52,1515284,1514416,2468,196
53,1515336,1514424,2460,204
54,1515128,1514488,2460,200
55,1515124,1514412,2456,196
56,1515304,1514412,2460,200
57,1515348,1514400,2468,196
58,1515124,1514468,2460,196
59,1515208,1514320,2456,200
60,1515268,1514384,2460,204
61,1515152,1514464,2460,196
62,1515212,1514308,2456,200
63,1515236,1514464,2464,200
64,1515132,1514416,2460,200
65,1515144,1514412,2460,200
66,1515208,1514432,2460,196
67,1515136,1514448,2460,200
68,1515216,1514324,2464,200
69,1515092,1514500,2460,196
70,1515160,1514340,2468,196
71,1515032,1514216,2460,196
72,1515104,1514176,2460,196
73,1515184,1514420,2460,204
74,1515112,1514348,2464,200
75,1515280,1514360,2468,196
76,1515276,1514356,2460,196
77,1515192,1514416,2456,196
78,1515268,1514368,2464,200
79,1515136,1514380,2460,200
80,1515196,1514320,2460,196
81,1515304,1514436,2468,196
82,1515132,1514484,2460,200
83,1515152,1514436,2456,196
84,1515216,1514420,2460,200
85,1515156,1514348,2460,196
86,1515232,1514396,2460,204
87,1515076,1514508,2460,200
88,1515172,1514416,2456,200
89,1515240,1514440,2468,196
90,1515092,1514364,2464,200
91,1515236,1514396,2464,200
92,1515140,1514428,2460,196
93,1515180,1514356,2460,196
94,1515228,1514368,2460,204
95,1515124,1514348,2464,196
96,1515196,1514396,2456,196
97,1515152,1514492,2460,200
98,1515140,1514340,2460,196
99,1515204,1514420,2460,204
Average Time (us),1515187.52,1514403.64,2460.92,198.04
Average Time/Byte (us/byte),430.451,430.2283068,0.761423267,0.061274752
